10, 0.421, 0.599, 0.657
20, 0.498, 1.077, 1.293
30, 0.592, 1.605, 1.855
40, 0.624, 2.222, 2.594
50, 0.727, 2.779, 2.898
60, 0.694, 3.403, 3.755
70, 0.773, 3.916, 4.105
80, 0.807, 4.312, 4.798
90, 0.894, 4.477, 5.414
100, 1.667, 7.481, 5.533
110, 0.994, 5.948, 6.155
120, 1.043, 6.711, 7.016
130, 1.012, 6.938, 7.585
140, 1.115, 7.527, 8.221
150, 1.233, 8.557, 8.783
160, 1.207, 8.725, 9.365
170, 1.269, 9.450, 9.925
180, 1.295, 9.795, 10.490
190, 1.316, 9.868, 11.198
200, 1.433, 9.880, 11.665
210, 1.388, 11.516, 12.943
220, 1.422, 11.850, 13.072
230, 1.426, 12.688, 13.578
240, 1.465, 13.086, 14.280
250, 1.463, 14.042, 16.950
260, 1.542, 17.219, 17.940
270, 1.849, 16.448, 18.034
280, 1.667, 15.754, 18.699
290, 1.863, 16.370, 18.851
300, 1.811, 18.028, 18.881
310, 2.093, 21.863, 18.886
320, 2.114, 18.852, 20.347
330, 1.747, 18.156, 19.964
340, 1.732, 18.641, 20.244
350, 1.766, 19.194, 22.896
360, 1.725, 19.704, 21.200
370, 1.779, 20.140, 21.978
380, 1.776, 20.486, 21.744
390, 1.670, 21.076, 23.279
400, 1.775, 21.711, 24.026
410, 1.802, 22.307, 24.496
420, 1.812, 22.997, 25.038
430, 1.909, 23.361, 25.730
440, 1.874, 25.392, 27.799
450, 1.979, 26.102, 27.530
460, 1.905, 25.268, 28.127
470, 2.144, 28.357, 30.439
480, 2.009, 26.873, 30.039
490, 2.162, 28.274, 35.405
500, 2.088, 28.972, 29.316
